PPM,AMP
-0.886138916015625,7.528745545395954e-07
-0.8857421875,7.532164629250968e-07
-0.885345458984375,7.535585446534921e-07
-0.88494873046875,7.539007998850263e-07
-0.884552001953125,7.542432286934252e-07
-0.8841552734375,7.545858312413192e-07
-0.883758544921875,7.54928607591375e-07
-0.88336181640625,7.552715579159808e-07
-0.882965087890625,7.556146822804057e-07
-0.882568359375,7.559579808474968e-07
-0.882171630859375,7.563014536901124e-07
-0.88177490234375,7.566451009730513e-07
-0.881378173828125,7.569889227598478e-07
-0.8809814453125,7.573329192118311e-07
-0.880584716796875,7.576770904061964e-07
-0.88018798828125,7.580214365055741e-07
-0.879791259765625,7.583659575862919e-07
-0.87939453125,7.587106538120645e-07
-0.878997802734375,7.590555252392703e-07
-0.87860107421875,7.59400572036828e-07
-0.878204345703125,7.597457942869201e-07
-0.8778076171875,7.600911921335288e-07
-0.877410888671875,7.604367656848573e-07
-0.87701416015625,7.60782515069492e-07
-0.876617431640625,7.611284403834934e-07
-0.876220703125,7.614745417593508e-07
-0.875823974609375,7.618208193030992e-07
-0.87542724609375,7.621672731524323e-07
-0.875030517578125,7.625139034159872e-07
-0.8746337890625,7.628607102063041e-07
-0.874237060546875,7.632076936569566e-07
-0.87384033203125,7.635548538596684e-07
-0.873443603515625,7.63902190973817e-07
-0.873046875,7.642497050703093e-07
-0.872650146484375,7.645973963237018e-07
-0.87225341796875,7.64945264791891e-07
-0.871856689453125,7.652933106526861e-07
-0.8714599609375,7.656415339804632e-07
-0.871063232421875,7.65989934926577e-07
-0.87066650390625,7.663385135818837e-07
-0.870269775390625,7.666872700942684e-07
-0.869873046875,7.670362045691156e-07
-0.869476318359375,7.673853171087739e-07
-0.86907958984375,7.677346078773916e-07
-0.868682861328125,7.680840769612712e-07
-0.8682861328125,7.684337244935526e-07
-0.867889404296875,7.687835505705131e-07
-0.86749267578125,7.691335553415557e-07
-0.867095947265625,7.69483738928111e-07
-0.86669921875,7.698341014318773e-07
-0.866302490234375,7.701846429779714e-07
-0.86590576171875,7.705353637047375e-07
-0.865509033203125,7.708862637025981e-07
-0.8651123046875,7.712373431352677e-07
-0.864715576171875,7.715886020747374e-07
-0.86431884765625,7.719400406816859e-07
-0.863922119140625,7.722916590614977e-07
-0.863525390625,7.726434573353865e-07
-0.863128662109375,7.729954356239157e-07
-0.86273193359375,7.733475940498169e-07
-0.862335205078125,7.736999327403755e-07
-0.8619384765625,7.740524518055295e-07
-0.861541748046875,7.744051513795033e-07
-0.86114501953125,7.747580315707169e-07
-0.860748291015625,7.75111092527923e-07
-0.8603515625,7.754643343428451e-07
-0.859954833984375,7.758177571520926e-07
-0.85955810546875,7.761713610842519e-07
-0.859161376953125,7.765251462349496e-07
-0.8587646484375,7.768791127856813e-07
-0.858367919921875,7.77233260778297e-07
-0.85797119140625,7.77587590397328e-07
-0.857574462890625,7.779421017531461e-07
-0.857177734375,7.782967949407273e-07
-0.856781005859375,7.786516701393988e-07
-0.85638427734375,7.790067274120443e-07
-0.855987548828125,7.793619669054647e-07
-0.8555908203125,7.79717388741958e-07
-0.855194091796875,7.80072993071361e-07
-0.85479736328125,7.804287799988412e-07
-0.854400634765625,7.807847496326022e-07
-0.85400390625,7.811409021086027e-07
-0.853607177734375,7.814972375513093e-07
-0.85321044921875,7.818537560895251e-07
-0.852813720703125,7.822104578379587e-07
-0.8524169921875,7.825673429202092e-07
-0.852020263671875,7.829244114863302e-07
-0.85162353515625,7.832816636189378e-07
-0.851226806640625,7.836390994852161e-07
-0.850830078125,7.839967191773222e-07
-0.850433349609375,7.843545228364193e-07
-0.85003662109375,7.847125105867568e-07
-0.849639892578125,7.850706825634265e-07
-0.8492431640625,7.854290388575012e-07
-0.848846435546875,7.857875796409355e-07
-0.84844970703125,7.861463050054529e-07
-0.848052978515625,7.865052150876628e-07
-0.84765625,7.868643099996717e-07
-0.847259521484375,7.872235898884975e-07
-0.84686279296875,7.875830548655961e-07
-0.846466064453125,7.879427050740823e-07
-0.8460693359375,7.883025406325676e-07
-0.845672607421875,7.886625616629166e-07
-0.84527587890625,7.890227682785366e-07
-0.844879150390625,7.893831606318666e-07
-0.844482421875,7.897437388313267e-07
-0.844085693359375,7.901045030200317e-07
-0.84368896484375,7.904654532981618e-07
-0.843292236328125,7.908265898296483e-07
-0.8428955078125,7.911879127118528e-07
-0.842498779296875,7.915494220776982e-07
-0.84210205078125,7.919111180731183e-07
-0.841705322265625,7.922730007904871e-07
-0.84130859375,7.926350703902664e-07
-0.840911865234375,7.929973269912849e-07
-0.84051513671875,7.933597707065164e-07
-0.840118408203125,7.937224016734377e-07
-0.8397216796875,7.940852200470899e-07
-0.839324951171875,7.944482259020658e-07
-0.83892822265625,7.948114194094528e-07
-0.838531494140625,7.951748006709489e-07
-0.838134765625,7.955383698498349e-07
-0.837738037109375,7.959021270254746e-07
-0.83734130859375,7.962660724003968e-07
-0.836944580078125,7.966302060108139e-07
-0.8365478515625,7.969945280390887e-07
-0.836151123046875,7.973590386081697e-07
-0.83575439453125,7.977237378368855e-07
-0.835357666015625,7.980886258787592e-07
-0.8349609375,7.984537028480655e-07
-0.834564208984375,7.988189688603806e-07
-0.83416748046875,7.991844240616379e-07
-0.833770751953125,7.995500685834597e-07
-0.8333740234375,7.999159025537817e-07
-0.832977294921875,8.002819260883968e-07
-0.83258056640625,8.006481393406113e-07
-0.832183837890625,8.010145424134241e-07
-0.831787109375,8.013811354655627e-07
-0.831390380859375,8.017479186026282e-07
-0.83099365234375,8.021148919733732e-07
-0.830596923828125,8.024820556931569e-07
-0.8302001953125,8.028494099083464e-07
-0.829803466796875,8.032169547388546e-07
-0.82940673828125,8.035846903230257e-07
-0.829010009765625,8.03952616777303e-07
-0.82861328125,8.043207342582452e-07
-0.828216552734375,8.046890428721042e-07
-0.82781982421875,8.050575427674157e-07
-0.827423095703125,8.054262340597557e-07
-0.8270263671875,8.057951169019965e-07
-0.826629638671875,8.061641913949692e-07
-0.82623291015625,8.065334577164827e-07
-0.825836181640625,8.069029159521891e-07
-0.825439453125,8.072725662703565e-07
-0.825042724609375,8.076424087668285e-07
-0.82464599609375,8.080124436048858e-07
-0.824249267578125,8.083826708955508e-07
-0.8238525390625,8.087530907927801e-07
-0.823455810546875,8.091237034171372e-07
-0.82305908203125,8.094945089028461e-07
-0.822662353515625,8.098655073752407e-07
-0.822265625,8.10236698995867e-07
-0.821868896484375,8.106080838495098e-07
-0.82147216796875,8.109796621085571e-07
-0.821075439453125,8.113514338894522e-07
-0.8206787109375,8.117233993368278e-07
-0.820281982421875,8.120955585731986e-07
-0.81988525390625,8.124679117416794e-07
-0.819488525390625,8.128404589602314e-07
-0.819091796875,8.132132003945206e-07
-0.818695068359375,8.135861361473293e-07
-0.81829833984375,8.139592663708797e-07
-0.817901611328125,8.14332591185735e-07
-0.8175048828125,8.147061107380456e-07
-0.817108154296875,8.150798251511937e-07
-0.81671142578125,8.154537345776182e-07
-0.816314697265625,8.158278391339792e-07
-0.81591796875,8.162021389677282e-07
-0.815521240234375,8.165766342024643e-07
-0.81512451171875,8.169513249776158e-07
-0.814727783203125,8.173262114386827e-07
-0.8143310546875,8.177012937129503e-07
-0.813934326171875,8.180765719322577e-07
-0.81353759765625,8.184520462264921e-07
-0.813140869140625,8.18827716750261e-07
-0.812744140625,8.192035836275969e-07
-0.812347412109375,8.195796470033493e-07
-0.81195068359375,8.19955907002852e-07
-0.811553955078125,8.203323637694365e-07
-0.8111572265625,8.207090174336407e-07
-0.810760498046875,8.210858681355435e-07
-0.81036376953125,8.214629160024304e-07
-0.809967041015625,8.218401611902095e-07
-0.8095703125,8.222176038376588e-07
-0.809173583984375,8.225952440642573e-07
-0.80877685546875,8.229730820055303e-07
-0.808380126953125,8.233511178054598e-07
-0.8079833984375,8.237293516039079e-07
-0.807586669921875,8.241077835342316e-07
-0.80718994140625,8.244864137445327e-07
-0.806793212890625,8.248652423571094e-07
-0.806396484375,8.252442695233161e-07
-0.805999755859375,8.256234953658848e-07
-0.80560302734375,8.260029200450603e-07
-0.805206298828125,8.263825436562525e-07
-0.8048095703125,8.267623664026408e-07
-0.804412841796875,8.271423883735637e-07
-0.80401611328125,8.27522609719725e-07
-0.803619384765625,8.279030305831554e-07
-0.80322265625,8.282836511061022e-07
-0.802825927734375,8.286644714160674e-07
-0.80242919921875,8.29045491660069e-07
-0.802032470703125,8.294267119818722e-07
-0.8016357421875,8.29808132507678e-07
-0.801239013671875,8.301897533853717e-07
-0.80084228515625,8.305715747595858e-07
